Repository Name,Is Git Repository,License Type,Git History Intact,First Commit Date,Last Commit Date,Development Span (Months),Lines of Code (Code),Lines of Code (Comments),Lines of Code (Blank),Total Files,Total Commits,Meaningful Commit Count,Commits per Month,total_pr_count,open_pr_count,closed_pr_count,merged_pr_count,github_pr_analysis_available,Number of Contributors with commits,Total Contributors (All-Time),Contributor List,Branch Count,LLM Tokens,Lexical Tokens,Code Duplication (Weighted %),Code Complexity,AI Detection Percentage,Language Count,Languages Used,Frontend Languages,Backend Languages,Frameworks Used,Frontend Frameworks,Backend Frameworks,Languages Percentage (Bytes > 5%),Frameworks Percentage (Bytes > 5%),Databases Used,Third-Party APIs,Setup Guidelines,Security Findings,Documentation Quality,Repository Rating Score
SAMS-rough-work,True,,True,2024-05-28,2024-05-28,0.0,1443,0,18,7,2,1,0 commits/mo,0,0,0,0,True,2,2,"Yogesh Saini, yogesh saini",1,12820,13044,0.0%,Moderate,9.4%,1,C++,,C++,,,,C++ (100.0%),None Detected,,,Not found in README,Review Required (3),Low,1.57
scroll-to-top-extension,True,,True,2025-08-13,2025-08-13,0.0,27,6,4,2,4,3,0 commits/mo,0,0,0,0,True,2,2,"Yogesh Saini, Yogesh Saini",1,267,306,0.0%,Moderate,0.0%,1,JavaScript,JavaScript,,,,,JavaScript (100.0%),None Detected,,,Not found in README,Clean,Medium,1.31
Second-Brain,True,Gnu General Public,True,2025-05-31,2026-09-03,15.1,8598,276,1286,24,107,79,7.1 commits/mo,4,0,4,3,True,15,15,"sohzm, Saini-Yogesh, barış, Yogesh Saini, soham, yogesh-saini-data, Aryan Sawhney, Bilgi Lovelace, Deep Santoshwar, M, ManojINaik, Sandeep Srinivasa, Sushil Bang, d333sh, jakob pl",1,74929,74533,0.0%,Moderate,8.2%,2,JavaScript | HTML,HTML | JavaScript,,code_imports: React,React,,JavaScript (97.9%),React (100.0%),,,Present,Clean,Medium,5.47
segment-tree-visualization,True,,True,2025-02-08,2026-07-21,17.3,5229,166,844,47,47,34,2.7 commits/mo,3,0,3,3,True,3,4,"Yogesh Saini, Saini-Yogesh, Yogesh Saini, Vercel",1,42018,43886,0.0%,Moderate,8.6%,3,JavaScript | CSS | C++,CSS | JavaScript,C++,"package.json: react,next | code_imports: React,Next.js",React,,JavaScript (86.2%) | CSS (11.7%),Next.js (60.6%) | React (39.4%),,,Present,Clean,High,4.35
Spotify-Data-Analysis-using-SQL,True,,True,2025-08-29,2026-01-09,4.3,166,76,157,2,4,4,0.9 commits/mo,0,0,0,0,True,1,2,"Yogesh Saini, Saini-Yogesh",1,1995,2510,0.0%,Moderate,0.0%,0,,,,,,,N/A,None Detected,Sql (Schema Found),,Not found in README,Clean,High,1.5
SQL-data-warehouse-project,True,,True,2025-10-21,2025-10-21,0.0,995,349,125,19,2,1,0 commits/mo,0,0,0,0,True,1,1,Yogesh Saini,1,11052,12509,0.0%,Moderate,20.0%,0,,,,,,,N/A,None Detected,Sql (Schema Found),,Present,Clean,High,1.1
Telegram-AI-Chatbot,True,,True,2025-01-28,2025-01-30,0.1,229,26,58,10,7,7,70.0 commits/mo,0,0,0,0,True,2,2,"Yogesh Saini, Yogesh Saini",1,2354,2496,0.0%,Moderate,8.3%,1,JavaScript,JavaScript,,package.json: express,,Express,JavaScript (100.0%),None Detected,MongoDB,,Present,Clean,High,1.4
TextUtils,True,,True,2024-06-19,2024-07-11,0.7,489,10,10,8,12,4,17.1 commits/mo,0,0,0,0,True,1,1,Yogesh Saini,2,2968,3112,0.0%,Low,9.1%,3,JavaScript | HTML | CSS,CSS | HTML | JavaScript,,package.json: react | code_imports: React,React,,JavaScript (88.2%) | HTML (9.2%),React (100.0%),,,Present,Clean,High,1.22
Tic-Tac-Toe-game,True,,True,2024-06-02,2024-06-17,0.5,223,11,12,3,4,2,8.0 commits/mo,0,0,0,0,True,2,2,"Saini-Yogesh, Yogesh Saini",1,801,917,0.0%,Low,0.0%,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,,,,JavaScript (54.9%) | CSS (27.9%) | HTML (17.2%),None Detected,,,Not found in README,Clean,Low,1.41
Trip-connect,True,,True,2024-06-10,2026-07-13,25.1,9168,293,1304,78,67,53,2.7 commits/mo,0,0,0,0,True,2,3,"Yogesh Saini, Saini-Yogesh, Yogesh Saini",3,46215,50242,0.0%,Low,8.5%,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,"package.json: react,express | code_imports: React,Express",React,Express,JavaScript (72.9%) | CSS (26.2%),React (89.7%) | Express (6.0%),MongoDB,,Present,Review Required (3),High,4.74
TripConnect-HTML-CSS,True,,True,2024-07-09,2024-07-09,0.0,2552,100,27,15,2,2,0 commits/mo,0,0,0,0,True,2,2,"Yogesh Saini, Yogesh Saini",1,0,0,0.0%,Low,0.0%,2,CSS | HTML,CSS | HTML,,,,,HTML (61.0%) | CSS (39.0%),None Detected,,,Not found in README,Clean,Low,1.79
typescript,True,,True,2025-05-13,2025-05-18,0.2,353,106,88,21,6,2,30.0 commits/mo,0,0,0,0,True,2,2,"Yogesh Saini, Yogesh Saini",1,3298,3335,13.0%,Moderate,24.0%,3,TypeScript | JavaScript | HTML,HTML | JavaScript | TypeScript,,,,,TypeScript (76.3%) | JavaScript (20.6%),React (100.0%),,,Not found in README,Clean,Low,1.43
WhatsApp-AI-Chatbot,True,,True,2025-03-28,2026-07-13,15.5,6833,185,869,41,78,49,5.0 commits/mo,7,0,7,7,True,5,6,"Saini-Yogesh, Yogesh Saini, Yogesh Saini, Sahil7811, Vercel, Ronak",3,25397,27173,0.0%,Low,7.9%,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,"package.json: react,express | code_imports: React,Express",React,Express,JavaScript (56.6%) | CSS (40.1%),React (83.6%) | Next.js (13.9%),MongoDB | Redis,Openai | Twilio,Present,Clean,High,5.21
